,iter,epoch,training_loss,training_acc,val_loss,val_acc,unlabelled_count
0,1,1,0.6322494745254517,0.17229067676035542,0.4924067258834839,0.7439862542955327,tensor(157205)
1,1,2,0.4388252794742584,0.7554159619875976,0.4452316462993622,0.9022766323024055,tensor(157205)
2,1,3,0.3624073565006256,0.9019355185095702,0.4411070644855499,0.9024914089347079,tensor(157205)
3,1,4,0.33491721749305725,0.902391882097125,0.4562895596027374,0.9024914089347079,tensor(157205)
4,1,5,0.332306832075119,0.902391882097125,0.47708895802497864,0.9024914089347079,tensor(157205)
5,1,6,0.33997273445129395,0.902391882097125,0.4936525523662567,0.9024914089347079,tensor(157205)
6,1,7,0.34879380464553833,0.902391882097125,0.5015445351600647,0.9024914089347079,tensor(157205)
7,1,8,0.3541004955768585,0.902391882097125,0.49997395277023315,0.9024914089347079,tensor(157205)
8,1,9,0.3544103801250458,0.902391882097125,0.4902596175670624,0.9024914089347079,tensor(157205)
9,1,10,0.3500974774360657,0.902391882097125,0.4745476543903351,0.9024914089347079,tensor(157205)
10,1,11,0.34244242310523987,0.902391882097125,0.4553566575050354,0.9024914089347079,tensor(157205)
11,1,12,0.3329448401927948,0.902391882097125,0.4349721372127533,0.9024914089347079,tensor(157205)
12,1,13,0.32297655940055847,0.902391882097125,0.4150313138961792,0.9024914089347079,tensor(157205)
13,1,14,0.3135777711868286,0.902391882097125,0.3965778350830078,0.9024914089347079,tensor(157205)
14,1,15,0.3054521083831787,0.902391882097125,0.38028234243392944,0.9024914089347079,tensor(157205)
15,1,16,0.29900187253952026,0.902391882097125,0.36641034483909607,0.9024914089347079,tensor(157205)
16,1,17,0.2942991554737091,0.902391882097125,0.35495975613594055,0.9024914089347079,tensor(157205)
17,1,18,0.2910969853401184,0.902391882097125,0.34539443254470825,0.9024914089347079,tensor(157205)
18,1,19,0.2890033423900604,0.902391882097125,0.3372814953327179,0.9035652920962199,tensor(157205)
19,1,20,0.2875061631202698,0.9024187270140399,0.330095112323761,0.9052835051546392,tensor(157205)
20,1,21,0.2861485779285431,0.9025797965155298,0.3234069347381592,0.9054982817869416,tensor(157205)
21,1,22,0.2845347225666046,0.9028750906015945,0.31663185358047485,0.906786941580756,tensor(157205)
22,1,23,0.28237512707710266,0.9031435397707445,0.309477299451828,0.907860824742268,tensor(157205)
23,1,24,0.27977555990219116,0.9035462135244692,0.30232664942741394,0.9082903780068728,tensor(157205)
24,1,25,0.27734869718551636,0.903734127942874,0.2956015467643738,0.9082903780068728,tensor(157205)
25,1,26,0.27430829405784607,0.9038683525274489,0.28956618905067444,0.9080756013745704,tensor(157205)
26,1,27,0.2707441449165344,0.903814662693619,0.284574419260025,0.907860824742268,tensor(157205)
27,1,28,0.26703518629074097,0.9035999033582991,0.280915230512619,0.9072164948453608,tensor(157205)
28,1,29,0.26352232694625854,0.9033314541891493,0.27855631709098816,0.9074312714776632,tensor(157205)
29,1,30,0.26056650280952454,0.9032240745214893,0.2769603431224823,0.9072164948453608,tensor(157205)
30,1,31,0.2585156559944153,0.9030898499369144,0.2759990990161896,0.9070017182130584,tensor(157205)
31,1,32,0.257050096988678,0.9029556253523395,0.27530279755592346,0.9074312714776632,tensor(157205)
32,1,33,0.25595271587371826,0.9029287804354246,0.27442166209220886,0.9072164948453608,tensor(157205)
33,1,34,0.25493401288986206,0.9029556253523395,0.27277952432632446,0.9072164948453608,tensor(157205)
34,1,35,0.253713995218277,0.9030898499369144,0.2700234651565552,0.9076460481099656,tensor(157205)
35,1,36,0.2520817518234253,0.9032509194384043,0.26614871621131897,0.9076460481099656,tensor(157205)
36,1,37,0.24998076260089874,0.9036535931921291,0.2613915503025055,0.9089347079037801,tensor(157205)
37,1,38,0.24749460816383362,0.9041368016965987,0.2562382221221924,0.9091494845360825,tensor(157205)
38,1,39,0.2447994500398636,0.9051300636224531,0.3283160626888275,0.8981958762886598,tensor(157205)
39,1,40,0.24211454391479492,0.9064991543851172,0.5062873959541321,0.8984106529209622,tensor(157205)
40,1,41,0.24258136749267578,0.9074118815602266,0.2501523196697235,0.9112972508591065,tensor(157205)
41,1,42,0.23795270919799805,0.9085393680706558,0.2548443675041199,0.9125859106529209,tensor(157205)
42,1,43,0.23633316159248352,0.9088078172398056,0.2588769495487213,0.9138745704467354,tensor(157205)
43,1,44,0.23503486812114716,0.9091031113258704,0.2619399130344391,0.916881443298969,tensor(157205)
44,1,45,0.23375090956687927,0.9099621486671499,0.263579785823822,0.9183848797250859,tensor(157205)
45,1,46,0.23259727656841278,0.9107138063407694,0.26394978165626526,0.9179553264604811,tensor(157205)
46,1,47,0.23117654025554657,0.9131835386969477,0.26315441727638245,0.9183848797250859,tensor(157205)
47,1,48,0.22950144112110138,0.9145257845426968,0.2612423896789551,0.9177405498281787,tensor(157205)
48,1,49,0.22756589949131012,0.9155458913854662,0.25812414288520813,0.9162371134020618,tensor(157205)
49,1,50,0.2253713607788086,0.9160022549730209,0.2539371848106384,0.9164518900343642,tensor(157205)
50,1,51,0.223226860165596,0.9162438592252558,0.24925179779529572,0.9160223367697594,tensor(157205)
51,1,52,0.22100922465324402,0.9162170143083407,0.24419094622135162,0.914733676975945,tensor(157205)
52,1,53,0.21878939867019653,0.9167002228128104,0.23925474286079407,0.9138745704467354,tensor(157205)
